Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_35_57,VGND,li1,31.9700,108.8000,0.000221
FILLER_35_47,VGND,li1,27.3700,108.8000,0.000163
FILLER_35_22,VGND,li1,15.8700,108.8000,0.000137
FILLER_35_18,VGND,li1,14.7200,108.8000,0.000137
FILLER_34_251,VGND,li1,121.2100,103.3600,0.001132
FILLER_34_242,VGND,li1,117.3000,103.3600,0.001131
FILLER_34_197,VGND,li1,96.3700,103.3600,0.001088
FILLER_34_123,VGND,li1,62.3300,103.3600,0.000782
FILLER_34_82,VGND,li1,43.7000,103.3600,0.000506
FILLER_34_68,VGND,li1,37.0300,103.3600,0.000380
FILLER_34_36,VGND,li1,22.5400,103.3600,0.000187
FILLER_33_251,VGND,li1,121.2100,103.3600,0.001132
FILLER_33_237,VGND,li1,114.7700,103.3600,0.001129
FILLER_33_207,VGND,li1,100.9700,103.3600,0.001102
FILLER_33_113,VGND,li1,57.9600,103.3600,0.000698
FILLER_33_109,VGND,li1,56.3500,103.3600,0.000698
FILLER_33_105,VGND,li1,54.0500,103.3600,0.000664
FILLER_33_54,VGND,li1,30.8200,103.3600,0.000288
FILLER_33_47,VGND,li1,27.3700,103.3600,0.000222
FILLER_33_39,VGND,li1,25.3000,103.3600,0.000186
FILLER_33_27,VGND,li1,18.1700,103.3600,0.000188
FILLER_33_19,VGND,li1,16.1000,103.3600,0.000188
FILLER_33_13,VGND,li1,11.7300,103.3600,0.000188
FILLER_32_174,VGND,li1,85.7900,97.9200,0.000966
FILLER_32_141,VGND,li1,70.8400,97.9200,0.000814
FILLER_32_138,VGND,li1,69.4600,97.9200,0.000788
FILLER_32_110,VGND,li1,56.5800,97.9200,0.000653
FILLER_32_83,VGND,li1,43.9300,97.9200,0.000486
FILLER_32_32,VGND,li1,20.4700,97.9200,0.000190
FILLER_32_26,VGND,li1,17.9400,97.9200,0.000190
FILLER_32_15,VGND,li1,12.8800,97.9200,0.000191
FILLER_32_3,VGND,li1,7.1300,97.9200,0.000191
FILLER_31_162,VGND,li1,80.2700,97.9200,0.000922
FILLER_31_135,VGND,li1,67.8500,97.9200,0.000788
FILLER_31_116,VGND,li1,60.2600,97.9200,0.000696
FILLER_31_98,VGND,li1,50.8300,97.9200,0.000580
FILLER_31_85,VGND,li1,46.0000,97.9200,0.000515
FILLER_31_71,VGND,li1,39.1000,97.9200,0.000415
FILLER_31_60,VGND,li1,34.0400,97.9200,0.000340
FILLER_31_45,VGND,li1,26.4500,97.9200,0.000188
FILLER_31_36,VGND,li1,22.3100,97.9200,0.000189
FILLER_31_32,VGND,li1,21.1600,97.9200,0.000190
FILLER_31_26,VGND,li1,17.7100,97.9200,0.000190
FILLER_31_21,VGND,li1,15.4100,97.9200,0.000191
FILLER_31_11,VGND,li1,10.8100,97.9200,0.000191
FILLER_30_250,VGND,li1,120.9800,92.4800,0.000821
FILLER_30_158,VGND,li1,78.4300,92.4800,0.000699
FILLER_30_89,VGND,li1,46.6900,92.4800,0.000413
FILLER_30_85,VGND,li1,45.5400,92.4800,0.000387
FILLER_30_83,VGND,li1,43.9300,92.4800,0.000366
FILLER_30_69,VGND,li1,38.6400,92.4800,0.000321
FILLER_30_65,VGND,li1,35.6500,92.4800,0.000271
FILLER_30_61,VGND,li1,34.5000,92.4800,0.000271
FILLER_30_44,VGND,li1,26.4500,92.4800,0.000168
FILLER_30_36,VGND,li1,23.9200,92.4800,0.000134
FILLER_30_25,VGND,li1,17.7100,92.4800,0.000136
FILLER_30_19,VGND,li1,14.9500,92.4800,0.000136
FILLER_30_3,VGND,li1,7.1300,92.4800,0.000137
FILLER_29_251,VGND,li1,121.2100,92.4800,0.000821
FILLER_29_230,VGND,li1,111.7800,92.4800,0.000814
FILLER_29_205,VGND,li1,100.0500,92.4800,0.000801
FILLER_29_195,VGND,li1,95.4500,92.4800,0.000790
FILLER_29_162,VGND,li1,80.2700,92.4800,0.000723
FILLER_29_148,VGND,li1,73.8300,92.4800,0.000673
FILLER_29_113,VGND,li1,57.7300,92.4800,0.000523
FILLER_29_105,VGND,li1,54.5100,92.4800,0.000496
FILLER_29_96,VGND,li1,49.9100,92.4800,0.000433
FILLER_29_84,VGND,li1,44.6200,92.4800,0.000387
FILLER_29_76,VGND,li1,40.7100,92.4800,0.000345
FILLER_29_62,VGND,li1,34.2700,92.4800,0.000248
FILLER_29_55,VGND,li1,31.0500,92.4800,0.000224
FILLER_29_35,VGND,li1,22.0800,92.4800,0.000135
FILLER_29_29,VGND,li1,19.3200,92.4800,0.000136
FILLER_28_228,VGND,li1,110.6300,87.0400,0.000492
FILLER_28_211,VGND,li1,102.8100,87.0400,0.000488
FILLER_28_197,VGND,li1,96.3700,87.0400,0.000483
FILLER_28_180,VGND,li1,88.5500,87.0400,0.000476
FILLER_28_122,VGND,li1,62.1000,87.0400,0.000373
FILLER_28_104,VGND,li1,53.5900,87.0400,0.000321
FILLER_28_96,VGND,li1,51.5200,87.0400,0.000307
FILLER_28_85,VGND,li1,44.8500,87.0400,0.000253
FILLER_28_82,VGND,li1,43.7000,87.0400,0.000253
FILLER_28_74,VGND,li1,41.4000,87.0400,0.000236
FILLER_28_60,VGND,li1,33.5800,87.0400,0.000174
FILLER_28_51,VGND,li1,29.4400,87.0400,0.000140
FILLER_28_29,VGND,li1,19.0900,87.0400,0.000092
FILLER_28_26,VGND,li1,17.9400,87.0400,0.000092
FILLER_28_13,VGND,li1,11.9600,87.0400,0.000093
FILLER_27_233,VGND,li1,112.9300,87.0400,0.000493
FILLER_27_193,VGND,li1,95.2200,87.0400,0.000483
FILLER_27_186,VGND,li1,91.5400,87.0400,0.000480
FILLER_27_153,VGND,li1,76.3600,87.0400,0.000436
FILLER_27_113,VGND,li1,57.7300,87.0400,0.000344
FILLER_27_110,VGND,li1,56.5800,87.0400,0.000332
FILLER_27_83,VGND,li1,44.3900,87.0400,0.000253
FILLER_27_66,VGND,li1,36.8000,87.0400,0.000195
FILLER_27_53,VGND,li1,30.5900,87.0400,0.000140
FILLER_27_39,VGND,li1,23.6900,87.0400,0.000090
FILLER_27_30,VGND,li1,19.7800,87.0400,0.000092
FILLER_26_197,VGND,li1,96.3700,81.6000,0.000328
FILLER_26_195,VGND,li1,95.4500,81.6000,0.000326
FILLER_26_163,VGND,li1,80.9600,81.6000,0.000302
FILLER_26_138,VGND,li1,69.4600,81.6000,0.000267
FILLER_26_94,VGND,li1,50.1400,81.6000,0.000196
FILLER_26_76,VGND,li1,40.7100,81.6000,0.000155
FILLER_26_69,VGND,li1,37.4900,81.6000,0.000139
FILLER_26_55,VGND,li1,31.0500,81.6000,0.000097
FILLER_26_41,VGND,li1,24.6100,81.6000,0.000065
FILLER_26_22,VGND,li1,17.0200,81.6000,0.000066
FILLER_26_11,VGND,li1,11.2700,81.6000,0.000066
FILLER_25_193,VGND,li1,94.5300,81.6000,0.000326
FILLER_25_104,VGND,li1,53.5900,81.6000,0.000214
FILLER_25_95,VGND,li1,49.4500,81.6000,0.000196
FILLER_25_57,VGND,li1,32.2000,81.6000,0.000110
FILLER_25_55,VGND,li1,31.0500,81.6000,0.000097
FILLER_25_51,VGND,li1,29.9000,81.6000,0.000097
FILLER_25_44,VGND,li1,26.2200,81.6000,0.000065
FILLER_25_39,VGND,li1,23.6900,81.6000,0.000065
FILLER_25_34,VGND,li1,21.3900,81.6000,0.000065
FILLER_25_28,VGND,li1,19.7800,81.6000,0.000065
FILLER_25_16,VGND,li1,15.6400,81.6000,0.000066
FILLER_24_179,VGND,li1,88.5500,76.1600,0.000219
FILLER_24_139,VGND,li1,69.6900,76.1600,0.000194
FILLER_24_62,VGND,li1,34.2700,76.1600,0.000100
FILLER_24_38,VGND,li1,23.6900,76.1600,0.000056
FILLER_24_26,VGND,li1,17.9400,76.1600,0.000057
FILLER_23_167,VGND,li1,82.5700,76.1600,0.000211
FILLER_23_111,VGND,li1,56.8100,76.1600,0.000168
FILLER_23_75,VGND,li1,40.2500,76.1600,0.000117
FILLER_23_50,VGND,li1,28.9800,76.1600,0.000074
FILLER_23_32,VGND,li1,20.7000,76.1600,0.000057
FILLER_23_22,VGND,li1,16.3300,76.1600,0.000058
FILLER_22_197,VGND,li1,96.3700,70.7200,0.000258
FILLER_22_85,VGND,li1,45.0800,70.7200,0.000151
FILLER_22_82,VGND,li1,43.7000,70.7200,0.000142
FILLER_22_63,VGND,li1,34.7300,70.7200,0.000110
FILLER_22_36,VGND,li1,22.7700,70.7200,0.000061
FILLER_22_8,VGND,li1,9.4300,70.7200,0.000063
FILLER_21_74,VGND,li1,39.7900,70.7200,0.000132
FILLER_21_54,VGND,li1,30.8200,70.7200,0.000088
FILLER_21_32,VGND,li1,20.7000,70.7200,0.000062
FILLER_21_20,VGND,li1,15.6400,70.7200,0.000062
FILLER_21_11,VGND,li1,11.0400,70.7200,0.000063
FILLER_20_148,VGND,li1,73.8300,65.2800,0.000279
FILLER_20_85,VGND,li1,44.8500,65.2800,0.000177
FILLER_20_73,VGND,li1,39.3300,65.2800,0.000153
FILLER_20_42,VGND,li1,26.2200,65.2800,0.000079
FILLER_20_36,VGND,li1,22.5400,65.2800,0.000068
FILLER_20_25,VGND,li1,17.7100,65.2800,0.000069
FILLER_19_169,VGND,li1,83.4900,65.2800,0.000295
FILLER_19_120,VGND,li1,61.1800,65.2800,0.000243
FILLER_19_106,VGND,li1,54.5100,65.2800,0.000220
FILLER_19_66,VGND,li1,36.3400,65.2800,0.000138
FILLER_19_46,VGND,li1,27.1400,65.2800,0.000079
FILLER_19_40,VGND,li1,24.3800,65.2800,0.000067
FILLER_19_26,VGND,li1,18.8600,65.2800,0.000068
FILLER_18_102,VGND,li1,52.6700,59.8400,0.000257
FILLER_18_85,VGND,li1,45.0800,59.8400,0.000209
FILLER_18_72,VGND,li1,38.8700,59.8400,0.000175
FILLER_18_24,VGND,li1,16.7900,59.8400,0.000079
