net,length_um
_0477_,21.91µm
_0457_,21.88µm
_0711_,21.8µm
y[28],21.79µm
net6,21.685µm
_0355_,21.48µm
_0373_,21.44µm
_0643_,21.32µm
_0316_,21.3µm
_0155_,21.26µm
_0388_,21.26µm
_0453_,21.2µm
result[29],21.14µm
result[30],21.14µm
net67,21.06µm
_0036_,21.04µm
_0836_,21.03µm
_0421_,20.94µm
_0349_,20.88µm
_0633_,20.84µm
_0484_,20.81µm
_0729_,20.81µm
_0623_,20.8µm
_0025_,20.76µm
_0262_,20.74µm
_0536_,20.74µm
_0819_,20.74µm
_0394_,20.65µm
_0486_,20.62µm
_0400_,20.58µm
_0396_,20.5µm
_0507_,20.44µm
_0279_,20.08µm
_0238_,20.06µm
_0253_,20.06µm
_0438_,19.94µm
_0906_,19.9µm
_0793_,19.88µm
_0266_,19.78µm
_0624_,19.78µm
_0454_,19.58µm
_0647_,19.56µm
_0060_,19.52µm
_0912_,19.52µm
_0660_,19.5µm
_0033_,19.39µm
_0538_,19.38µm
_0789_,19.28µm
_0583_,19.22µm
_0555_,19.2µm
_0666_,19.12µm
_0642_,19.08µm
_0560_,19.04µm
_0604_,19µm
x[0],18.93µm
_0783_,18.8µm
_0508_,18.78µm
_0303_,18.66µm
_0543_,18.54µm
_0443_,18.52µm
_0662_,18.46µm
_0327_,18.44µm
_0589_,18.44µm
_0542_,18.4µm
_0806_,18.36µm
_0265_,18.32µm
_0670_,18.16µm
_0552_,18.07µm
_0586_,18µm
_0611_,17.98µm
_0742_,17.74µm
_0576_,17.72µm
_0710_,17.7µm
_0725_,17.62µm
_0038_,17.6µm
_0913_,17.6µm
_0646_,17.5µm
_0300_,17.48µm
_0685_,17.47µm
_0344_,17.4µm
_0788_,17.36µm
_0679_,17.32µm
x[7],17.31µm
_0659_,17.3µm
_0634_,17.26µm
_0415_,17.18µm
y[2],17.11µm
_0872_,17.1µm
_0380_,17.04µm
_0447_,17.02µm
net106,16.98µm
_0751_,16.94µm
_0618_,16.9µm
result[19],16.88µm
_0284_,16.86µm
_0015_,16.82µm
_0055_,16.77µm
net95,16.76µm
net70,16.68µm
_0515_,16.54µm
_0077_,16.49µm
_0636_,16.445µm
_0757_,16.4µm
_0126_,16.24µm
_0314_,16.22µm
_0287_,16.2µm
result[18],16.18µm
_0684_,16.16µm
